time,pod,name,cpu_cores,memory_bytes
2023-10-09T08:55:54.933073Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,270m,574Mi
2023-10-09T08:56:10.073223Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,194m,1023Mi
2023-10-09T08:56:10.073223Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,270m,574Mi
2023-10-09T08:56:25.209114Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,192m,1104Mi
2023-10-09T08:56:25.209114Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,679m,603Mi
2023-10-09T08:56:40.321480Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1124Mi
2023-10-09T08:56:40.321480Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,177m,604Mi
2023-10-09T08:56:55.449085Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,197m,1197Mi
2023-10-09T08:56:55.449085Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,183m,604Mi
2023-10-09T08:57:10.553111Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1232Mi
2023-10-09T08:57:10.553111Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,206m,589Mi
2023-10-09T08:57:25.693058Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1232Mi
2023-10-09T08:57:25.693058Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,304m,591Mi
2023-10-09T08:57:40.834205Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,199m,1267Mi
2023-10-09T08:57:40.834205Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,210m,591Mi
2023-10-09T08:57:55.974245Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,1377Mi
2023-10-09T08:57:55.974245Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,801m,659Mi
2023-10-09T08:58:11.086700Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1383Mi
2023-10-09T08:58:11.086700Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,717m,933Mi
2023-10-09T08:58:26.215317Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1395Mi
2023-10-09T08:58:26.215317Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,780m,973Mi
2023-10-09T08:58:41.347390Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,1383Mi
2023-10-09T08:58:41.347390Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,269m,909Mi
2023-10-09T08:58:56.416509Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,185m,1462Mi
2023-10-09T08:58:56.416509Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,391m,885Mi
2023-10-09T08:59:11.559709Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,192m,1393Mi
2023-10-09T08:59:11.559709Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,197m,885Mi
2023-10-09T08:59:26.702427Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1458Mi
2023-10-09T08:59:26.702427Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,134m,885Mi
2023-10-09T08:59:41.821050Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,1465Mi
2023-10-09T08:59:41.821050Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,6m,885Mi
2023-10-09T08:59:56.961217Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1552Mi
2023-10-09T08:59:56.961217Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,171m,885Mi
2023-10-09T09:00:12.030512Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,198m,1510Mi
2023-10-09T09:00:12.030512Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,151m,885Mi
2023-10-09T09:00:27.164067Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1574Mi
2023-10-09T09:00:27.164067Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,303m,885Mi
2023-10-09T09:00:42.285311Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,1484Mi
2023-10-09T09:00:42.285311Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,146m,806Mi
2023-10-09T09:00:57.405808Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,1484Mi
2023-10-09T09:00:57.405808Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,182m,702Mi
2023-10-09T09:01:12.519097Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,188m,1441Mi
2023-10-09T09:01:12.519097Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,235m,634Mi
2023-10-09T09:01:27.637930Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,1438Mi
2023-10-09T09:01:27.637930Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,75m,608Mi
2023-10-09T09:01:42.775645Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,200m,1046Mi
2023-10-09T09:01:42.775645Z,vmware-operator-manager-86f4557c85-97hwj,vmware-operator,75m,608Mi
2023-10-09T09:01:57.916391Z,vmware-operator-manager-86f4557c85-97hwj,powershell-session,201m,784Mi
